"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Casino Games","0","Irish Wilds","3","0","Balance changes after multiple spins - Desktop","0"
"0","Casino Games","0","Irish Wilds","2","0","Balance changes after multiple spins - Mobile","0"
